1/1550 藏器圣令
1/500 藏器宝令
1/4 藏器秘令
1/5 刷新卷
1/5 刷新卷

1/2 符石碎片
1/2 符石碎片
1/1 符石碎片
1/1 符石碎片
1/1 符石碎片

1/2 斗笠+4
1/5 斗笠+5
1/10 斗笠+6
1/15 斗笠+7
1/20 斗笠+8
1/25 斗笠+9

1/2 盾牌+4
1/5 盾牌+5
1/10 盾牌+6
1/15 盾牌+7
1/20 盾牌+8
1/25 盾牌+9

1/2 爱情鲜花+4
1/5 爱情鲜花+5
1/10 爱情鲜花+6
1/15 爱情鲜花+7
1/20 爱情鲜花+8
1/25 爱情鲜花+9

1/2 玉佩+4
1/5 玉佩+5
1/10 玉佩+6
1/15 玉佩+7
1/20 玉佩+8
1/25 玉佩+9

1/2 转生石Lv.2
1/2 转生石Lv.2
1/2 转生石Lv.2

1/1 星辰石[小]
1/1 星辰石[小]
1/1 星辰石[小]
1/5 星辰石[中]
1/10 星辰石[大]

1/10 1元真充
1/10 1元真充
1/10 1元真充
1/10 1元真充
1/10 1元真充
1/3000 10元真充
1/5000 50元真充
1/10000 100元真充

1/20 符石碎片
1/20 符石碎片
1/20 符石碎片
1/20 符石碎片
1/20 符石碎片
1/20 符石碎片
1/20 符石碎片
1/20 符石碎片
1/20 符石碎片
1/20 符石碎片

1/10 神秘宝箱☆
1/20 神秘钥匙☆
1/10 神秘宝箱★
1/20 神秘钥匙★
1/10 神秘宝箱☆
1/20 神秘钥匙☆
1/10 神秘宝箱★
1/20 神秘钥匙★

1/10 元宝福袋
1/50 点卡福袋
1/10 元宝福袋
1/50 点卡福袋
1/10 元宝福袋
1/50 点卡福袋

1/2 天魔神甲
1/2 圣战宝甲
1/3 屠龙
1/2 圣战头盔
1/2 圣战项链
1/2 圣战手镯
1/2 圣战戒指
1/2 圣战靴子
1/2 圣战腰带

1/2 法神披风
1/2 霓裳羽衣
1/3 嗜魂法杖
1/2 法神头盔
1/2 法神项链
1/2 法神手镯
1/2 法神戒指
1/2 法神靴子
1/2 法神腰带

1/2 天尊道袍
1/2 天师长袍
1/3 霸者之刃
1/2 天尊头盔
1/2 天尊项链
1/2 天尊手镯
1/2 天尊戒指
1/2 天尊靴子
1/2 天尊腰带

1/5 绿玉战甲
1/5 绿玉战袍
1/6 绿玉裁决
1/3 绿玉腰带
1/3 绿玉靴子
1/3 绿玉头盔
1/3 绿玉项链
1/3 绿玉手镯
1/3 绿玉戒指
1/3 绿玉手镯
1/3 绿玉戒指

1/5 紫光法甲
1/5 紫光法袍
1/6 紫光法杖
1/3 紫光腰带
1/3 紫光靴子
1/3 紫光头盔
1/3 紫光项链
1/3 紫光手镯
1/3 紫光戒指
1/3 紫光手镯
1/3 紫光戒指

1/5 绿疾道甲
1/5 绿疾道袍
1/6 绿玉无极棍
1/3 绿疾腰带
1/3 绿疾靴子
1/3 绿疾头盔
1/3 绿疾项链
1/3 绿疾手镯
1/3 绿疾戒指
1/3 绿疾手镯
1/3 绿疾戒指

1/50 藤域头盔
1/50 藤域项链
1/50 藤域手镯
