道具名称,数量,货币显示,货币名称,货币数量,检测货币
虎符沉默,1,4000点卷,绑定点卷,4000,3999
蛛网束缚,1,4000点卷,绑定点卷,4000,3999
极限亢奋,1,4000点卷,绑定点卷,4000,3999
暗殇,1,1000点卷,绑定点卷,1000,999
离,1,1000点卷,绑定点卷,1000,999
斗笠+9,1,100点卷,绑定点卷,100,99
爱情鲜花+9,1,100点卷,绑定点卷,100,99
盾牌+9,1,100点卷,绑定点卷,100,99
玉佩+9,1,100点卷,绑定点卷,100,99
暴击率,1,1000点卷,绑定点卷,1000,999
神秘钥匙★,10,200点卷,绑定点卷,200,199
经验源泉,1,4000点卷,绑定点卷,4000,3999
法之哀伤,1,4000点卷,绑定点卷,4000,3999
星辰石[小],10,100点卷,绑定点卷,100,99
掠夺,1,1000点卷,绑定点卷,1000,999
书页,100,500点卷,绑定点卷,500,499
攻击伤害,1,1000点卷,绑定点卷,1000,999
战之哀伤,1,4000点卷,绑定点卷,4000,3999
生命源泉,1,4000点卷,绑定点卷,4000,3999
天,1,1000点卷,绑定点卷,1000,999
星辰石[大],10,500000元宝,绑定元宝,500000,499999
神秘钥匙☆,10,40点卷,绑定点卷,40,39
道之哀伤,1,4000点卷,绑定点卷,4000,3999
魔抗,1,1000点卷,绑定点卷,1000,999
生命,1,1000点卷,绑定点卷,1000,999
物抗,1,1000点卷,绑定点卷,1000,999
星辰石[中],10,250点卷,绑定点卷,250,249
梦魇,1,1000点卷,绑定点卷,1000,999
顺手牵羊,1,4000点卷,绑定点卷,4000,3999
暴击伤害,1,1000点卷,绑定点卷,1000,999
转生石Lv.3,3,90点卷,绑定点卷,90,89
星辰石[大],10,500点卷,绑定点卷,500,499
符石碎片,100,500点卷,绑定点卷,500,499
地,1,1000点卷,绑定点卷,1000,999
洗练石,60,50点卷,绑定点卷,50,49
书页,50,250点卷,绑定点卷,250,249
洗练石,100,65点卷,绑定点卷,65,64
符石碎片,50,250点卷,绑定点卷,250,249
极限防御,1,4000点卷,绑定点卷,4000,3999
星辰石[中],10,25000点卡,绑定点卡,25000,24999
洗练石,5,5000元宝,绑定元宝,5000,4999
洗练石,10,10000元宝,绑定元宝,10000,9999
洗练石,10,1000点卡,绑定点卡,1000,999
洗练石,20,2000点卡,绑定点卡,2000,1999
星辰石[大],10,50000点卡,绑定点卡,50000,49999
星辰石[大],10,50000点卡,绑定点卡,50000,49999
星辰石[小],10,50000元宝,绑定元宝,50000,49999
星辰石[中],10,250000元宝,绑定元宝,250000,249999
星辰石[小],1,5000元宝,绑定元宝,5000,4999
星辰石[小],2,10000元宝,绑定元宝,10000,9999
星辰石[小],3,15000元宝,绑定元宝,15000,14999
星辰石[小],4,20000元宝,绑定元宝,20000,19999
星辰石[小],5,25000元宝,绑定元宝,25000,24999
星辰石[中],1,25000元宝,绑定元宝,25000,24999
鲜花碎片,10,50000元宝,绑定元宝,50000,49999
斗笠碎片,10,50000元宝,绑定元宝,50000,49999
佩饰碎片,10,50000元宝,绑定元宝,50000,49999
盾牌碎片,10,50000元宝,绑定元宝,50000,49999
鲜花碎片,20,100000元宝,绑定元宝,100000,99999
斗笠碎片,20,100000元宝,绑定元宝,100000,99999
佩饰碎片,20,100000元宝,绑定元宝,100000,99999
盾牌碎片,20,100000元宝,绑定元宝,100000,99999
鲜花碎片,30,150000元宝,绑定元宝,150000,149999
斗笠碎片,30,150000元宝,绑定元宝,150000,149999
佩饰碎片,30,150000元宝,绑定元宝,150000,149999
盾牌碎片,30,150000元宝,绑定元宝,150000,149999
星辰石[中],2,50000元宝,绑定元宝,50000,49999
星辰石[中],3,85000元宝,绑定元宝,85000,84999
星辰石[中],4,100000元宝,绑定元宝,100000,99999
星辰石[中],5,125000元宝,绑定元宝,125000,124999
转生石Lv.3,1,30点卷,绑定点卷,30,29
星辰石[大],1,50000元宝,绑定元宝,50000,49999
星辰石[大],2,100000元宝,绑定元宝,100000,99999
星辰石[大],10,50000点卡,绑定点卡,50000,49999
星辰石[大],4,200000元宝,绑定元宝,200000,199999
星辰石[大],5,250000元宝,绑定元宝,250000,249999
星辰石[小],10,10000点卡,绑定点卡,10000,9999
洗练石,10,1000点卡,绑定点卡,1000,999
洗练石,20,2000点卡,绑定点卡,2000,1999
星辰石[大],10,50000点卡,绑定点卡,50000,49999
星辰石[大],3,150000元宝,绑定元宝,150000,149999
鲜花碎片,10,500点卡,绑定点卡,500,499
斗笠碎片,10,500点卡,绑定点卡,500,499
佩饰碎片,10,500点卡,绑定点卡,500,499
盾牌碎片,10,500点卡,绑定点卡,500,499
鲜花碎片,20,1000点卡,绑定点卡,1000,999
斗笠碎片,20,1000点卡,绑定点卡,1000,999
佩饰碎片,20,1000点卡,绑定点卡,1000,999
盾牌碎片,20,1000点卡,绑定点卡,1000,999
鲜花碎片,30,1500点卡,绑定点卡,1500,1499
斗笠碎片,30,1500点卡,绑定点卡,1500,1499
佩饰碎片,30,1500点卡,绑定点卡,1500,1499
盾牌碎片,30,1500点卡,绑定点卡,1500,1499
斗笠+9,1,100点卷,绑定点卷,100,99
爱情鲜花+9,1,100点卷,绑定点卷,100,99
盾牌+9,1,100点卷,绑定点卷,100,99
玉佩+9,1,100点卷,绑定点卷,100,99
斗笠+9,1,100点卷,绑定点卷,100,99
爱情鲜花+9,1,100点卷,绑定点卷,100,99
盾牌+9,1,100点卷,绑定点卷,100,99
玉佩+9,1,100点卷,绑定点卷,100,99
