装备名称,装备ID,货币名称,货币费用,等级要求,奖励人物,爆率ID_2,爆率ID_3,爆率ID_4,爆率ID_5,爆率ID_6,爆率ID_7,爆率ID_8,地图说明1,地图说明2,地图说明3,图鉴星图
魔法长袍[男],10036,绑定元宝,2000,30,T0,20094,20095,20096,20097,20098,10026,10066,尸王，僵尸，洞蛆,小怪7分钟，BOSS30分钟,尸王,b1
魔法长袍[女],10037,绑定元宝,2000,30,T1,20094,20095,20096,20097,20098,10026,10066,尸王，僵尸，洞蛆,小怪7分钟，BOSS30分钟,沃玛教主、沃玛卫士,b2
魔杖,10038,绑定元宝,2000,35,T2,20097,20098,20112,20113,20114,20231,20232,邪恶钳虫，邪恶毒蛇，暗之邪恶毒蛇,小怪15分钟，BOSS60分钟,邪恶钳虫、触龙神,b2
道士头盔,10039,绑定元宝,2000,35,T3,20067,20069,20107,20113,20073,20074,20075,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,白野猪、邪恶毒蛇,b2
生命项链,10040,绑定元宝,2000,35,T4,20072,20073,20074,20075,20099,20100,20101,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪7分钟，BOSS30分钟,祖玛教主、极品祖玛卫士,b3
思贝儿手镯,10041,绑定元宝,2000,35,T5,20072,20073,20074,20075,20099,20100,20101,大量的真假教主等你探索。,小怪7分钟，BOSS30分钟,沃玛教主、尸王等,b3
红宝石戒指,10042,绑定元宝,2000,40,T6,20097,20098,20112,20113,20114,20231,20232,虹魔蝎卫，白野猪，虹魔教主，虹魔猪卫,小怪15分钟，BOSS60分钟,虹魔教主、虹魔猪卫、虹魔蝎卫,b3
灵魂战衣[男],10043,绑定元宝,2000,40,T7,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,牛魔王、暗之牛魔王,b3
灵魂战衣[女],10044,绑定元宝,2000,40,T8,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,赤月恶魔、双头金刚，血魔,b3
银蛇,10045,绑定元宝,2000,40,T9,20282,10213,10214,20235,20236,20115,20116,魔龙刀兵，魔龙破甲兵，魔龙力士，天之魔龙巨蛾,小怪15分钟，BOSS60分钟,魔龙教主,b4
天珠项链,10046,绑定元宝,2000,40,T10,20233,20236,20237,10213,10214,20228,20281,僵尸，电僵尸，尸王,小怪15分钟，BOSS60分钟,魔龙教主,b4
心灵手镯,10047,绑定元宝,2000,41,T11,20073,20115,20116,20132,20136,20231,20233,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
铂金戒指,10048,绑定元宝,2000,42,T12,20074,20116,20117,20135,20234,20133,20137,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
战神盔甲[男],10049,绑定元宝,4000,43,T13,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
战神盔甲[女],10050,绑定元宝,4000,43,T14,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
裁决之杖,10051,绑定元宝,4000,43,T15,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
