装备名称,装备ID,货币名称,货币费用,等级要求,奖励人物,爆率ID_2,爆率ID_3,爆率ID_4,爆率ID_5,爆率ID_6,爆率ID_7,爆率ID_8,地图说明1,地图说明2,地图说明3,图鉴星图
绿玉战甲,10131,点卡,1000,30,A100,20094,20095,20096,20097,20098,10026,10066,尸王，僵尸，洞蛆,小怪7分钟，BOSS30分钟,尸王,b1
绿玉战袍,10132,点卡,1000,30,A101,20094,20095,20096,20097,20098,10026,10066,尸王，僵尸，洞蛆,小怪7分钟，BOSS30分钟,沃玛教主、沃玛卫士,b2
绿玉屠龙,10133,点卡,1000,35,A102,20097,20098,20112,20113,20114,20231,20232,邪恶钳虫，邪恶毒蛇，暗之邪恶毒蛇,小怪15分钟，BOSS60分钟,邪恶钳虫、触龙神,b2
绿玉腰带,10305,点卡,1000,35,A103,20067,20069,20107,20113,20073,20074,20075,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,白野猪、邪恶毒蛇,b2
绿玉靴子,10306,点卡,1000,35,A104,20072,20073,20074,20075,20099,20100,20101,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪7分钟，BOSS30分钟,祖玛教主、极品祖玛卫士,b3
绿玉头盔,10307,点卡,1000,35,A105,20072,20073,20074,20075,20099,20100,20101,大量的真假教主等你探索。,小怪7分钟，BOSS30分钟,沃玛教主、尸王等,b3
绿玉项链,10308,点卡,1000,40,A106,20097,20098,20112,20113,20114,20231,20232,虹魔蝎卫，白野猪，虹魔教主，虹魔猪卫,小怪15分钟，BOSS60分钟,虹魔教主、虹魔猪卫、虹魔蝎卫,b3
绿玉手镯,10309,点卡,1000,40,A107,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,牛魔王、暗之牛魔王,b3
绿玉戒指,10310,点卡,1000,40,A108,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,赤月恶魔、双头金刚，血魔,b3
紫光法甲,10135,点卡,1000,40,A109,20282,10213,10214,20235,20236,20115,20116,魔龙刀兵，魔龙破甲兵，魔龙力士，天之魔龙巨蛾,小怪15分钟，BOSS60分钟,魔龙教主,b4
紫光法袍,10136,点卡,1000,40,A110,20233,20236,20237,10213,10214,20228,20281,僵尸，电僵尸，尸王,小怪15分钟，BOSS60分钟,魔龙教主,b4
紫光法杖,10137,点卡,1000,41,A111,20073,20115,20116,20132,20136,20231,20233,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
紫光腰带,10293,点卡,1000,42,A112,20074,20116,20117,20135,20234,20133,20137,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
紫光靴子,10294,点卡,1000,43,A113,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
紫光头盔,10295,点卡,1000,43,A114,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
紫光项链,10296,点卡,1000,43,A115,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
紫光手镯,10297,点卡,1000,43,A116,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
紫光戒指,10298,点卡,1000,44,A117,20074,20110,20114,20132,20138,20230,20105,练级圣地，下面还有2层。,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿疾道甲,10138,点卡,1000,45,A118,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿疾道袍,10139,点卡,1000,46,A119,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿玉无极棍,10140,点卡,1000,48,A120,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
绿疾腰带,10299,点卡,1000,50,A121,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,雷炎蛛王,b5
绿疾靴子,10300,点卡,1000,53,A122,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,火龙神,b5
绿疾头盔,10301,点卡,1000,30,A123,20094,20095,20096,20097,20098,10026,10066,尸王，僵尸，洞蛆,小怪7分钟，BOSS30分钟,尸王,b1
绿疾项链,10302,点卡,1000,30,A124,20094,20095,20096,20097,20098,10026,10066,尸王，僵尸，洞蛆,小怪7分钟，BOSS30分钟,沃玛教主、沃玛卫士,b2
绿疾手镯,10303,点卡,1000,35,A125,20097,20098,20112,20113,20114,20231,20232,邪恶钳虫，邪恶毒蛇，暗之邪恶毒蛇,小怪15分钟，BOSS60分钟,邪恶钳虫、触龙神,b2
绿疾戒指,10304,点卡,1000,35,A126,20067,20069,20107,20113,20073,20074,20075,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,白野猪、邪恶毒蛇,b2
暗光战甲,10142,点卡,2000,35,A127,20072,20073,20074,20075,20099,20100,20101,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪7分钟，BOSS30分钟,祖玛教主、极品祖玛卫士,b3
暗光战袍,10143,点卡,2000,35,A128,20072,20073,20074,20075,20099,20100,20101,大量的真假教主等你探索。,小怪7分钟，BOSS30分钟,沃玛教主、尸王等,b3
暗光屠龙,10144,点卡,2000,40,A129,20097,20098,20112,20113,20114,20231,20232,虹魔蝎卫，白野猪，虹魔教主，虹魔猪卫,小怪15分钟，BOSS60分钟,虹魔教主、虹魔猪卫、虹魔蝎卫,b3
暗光腰带,10275,点卡,2000,40,A130,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,牛魔王、暗之牛魔王,b3
暗光靴子,10276,点卡,2000,40,A131,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,赤月恶魔、双头金刚，血魔,b3
暗光头盔,10277,点卡,2000,40,A132,20282,10213,10214,20235,20236,20115,20116,魔龙刀兵，魔龙破甲兵，魔龙力士，天之魔龙巨蛾,小怪15分钟，BOSS60分钟,魔龙教主,b4
暗光项链,10278,点卡,2000,40,A133,20233,20236,20237,10213,10214,20228,20281,僵尸，电僵尸，尸王,小怪15分钟，BOSS60分钟,魔龙教主,b4
暗光手镯,10279,点卡,2000,41,A134,20073,20115,20116,20132,20136,20231,20233,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
暗光戒指,10280,点卡,2000,42,A135,20074,20116,20117,20135,20234,20133,20137,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪15分钟，BOSS60分钟,魔龙教主,b4
红魔法甲,10145,点卡,2000,43,A136,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
红魔法袍,10146,点卡,2000,43,A137,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
红魔法杖,10147,点卡,2000,43,A138,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
红魔腰带,10281,点卡,2000,43,A139,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
红魔靴子,10282,点卡,2000,44,A140,20074,20110,20114,20132,20138,20230,20105,练级圣地，下面还有2层。,小怪15分钟，BOSS60分钟,魔龙教主,b5
红魔头盔,10283,点卡,2000,45,A141,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
红魔项链,10284,点卡,2000,46,A142,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
红魔手镯,10285,点卡,2000,48,A143,20074,20110,20114,20132,20138,20230,20105,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,魔龙教主,b5
红魔戒指,10286,点卡,2000,50,A144,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,雷炎蛛王,b5
翡翠道甲,10148,点卡,2000,53,A145,20231,20278,20281,20106,20138,20257,20247,邪恶怪物集结之地,小怪15分钟，BOSS60分钟,火龙神,b5
翡翠道袍,10149,点卡,2000,30,A146,20094,20095,20096,20097,20098,10026,10066,尸王，僵尸，洞蛆,小怪7分钟，BOSS30分钟,尸王,b1
翡翠幽风,10150,点卡,2000,30,A147,20094,20095,20096,20097,20098,10026,10066,尸王，僵尸，洞蛆,小怪7分钟，BOSS30分钟,沃玛教主、沃玛卫士,b2
翡翠腰带,10287,点卡,2000,35,A148,20097,20098,20112,20113,20114,20231,20232,邪恶钳虫，邪恶毒蛇，暗之邪恶毒蛇,小怪15分钟，BOSS60分钟,邪恶钳虫、触龙神,b2
翡翠靴子,10288,点卡,2000,35,A149,20067,20069,20107,20113,20073,20074,20075,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,白野猪、邪恶毒蛇,b2
翡翠头盔,10289,点卡,2000,35,A150,20072,20073,20074,20075,20099,20100,20101,祖玛弓箭手，祖玛卫士，祖玛雕像,小怪7分钟，BOSS30分钟,祖玛教主、极品祖玛卫士,b3
翡翠项链,10290,点卡,2000,35,A151,20072,20073,20074,20075,20099,20100,20101,大量的真假教主等你探索。,小怪7分钟，BOSS30分钟,沃玛教主、尸王等,b3
翡翠手镯,10291,点卡,2000,40,A152,20097,20098,20112,20113,20114,20231,20232,虹魔蝎卫，白野猪，虹魔教主，虹魔猪卫,小怪15分钟，BOSS60分钟,虹魔教主、虹魔猪卫、虹魔蝎卫,b3
翡翠戒指,10292,点卡,2000,40,A153,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,牛魔王、暗之牛魔王,b3
白龙法甲,10152,点卡,3000,40,A154,20106,20107,20113,20132,20066,20067,20068,练级圣地，下面还有2层。,小怪7分钟，BOSS30分钟,赤月恶魔、双头金刚，血魔,b3
白龙法袍,10153,点卡,3000,40,A155,20282,10213,10214,20235,20236,20115,20116,魔龙刀兵，魔龙破甲兵，魔龙力士，天之魔龙巨蛾,小怪15分钟，BOSS60分钟,魔龙教主,b4
斩神银龙,10154,点卡,3000,40,A156,20233,20236,20237,10213,10214,20228,20281,僵尸，电僵尸，尸王,小怪15分钟，BOSS60分钟,魔龙教主,b4
