装备名字,装备名字,装备名字,装备名字,装备名字,装备名字,装备名字,装备名字,装备名字,装备名字,雪寂ぅ盔,麒麟ぃ盔,寂灭え甲,装备名字,装备名字,装备名字,装备名字,八角玄冰·头,寂灭え盔
绿玉战甲,奇茸通天·手,绿玉战甲,暗光战甲,白龙法甲,碧玉战甲,耀金战甲,耀金战甲,奇茸通天·头,斗笠+7,雪寂ぅ链,麒麟ぃ链,寂灭え袍,仙戮之袍 ,奇茸通天·链,耀金破龍斩,药魂石,八角玄冰·链,寂灭え链
绿玉战袍,奇茸通天·镯,绿玉战袍,暗光战袍,白龙法袍,碧玉战袍,耀金战袍,耀金战袍,奇茸通天·链,斗笠+8,雪寂ぅ镯,麒麟ぃ镯,业火え甲,奇茸通天·链,奇茸通天·手,耀光寒冰刃,药魂晶,八角玄冰·手,寂灭え手
绿玉屠龙,奇茸通天·戒,绿玉屠龙,暗光屠龙,斩神银龙,春暖花开叶,耀金破龍斩,耀金破龍斩,奇茸通天·手,斗笠+9,雪寂ぅ戒,麒麟ぃ戒,业火え袍,奇茸通天·手,奇茸通天·镯,耀玉青龙刀,冰霜ぅ盔,八角玄冰·镯,寂灭え镯
绿玉裁决,奇茸通天·指,绿玉裁决,红魔法甲,白虎战甲,幽光法甲,耀光法甲,耀光法甲,奇茸通天·镯,盾牌+7,雪寂ぅ指,麒麟ぃ指,冥天え甲,奇茸通天·镯,奇茸通天·戒,魅影之刃,冰霜ぅ链,八角玄冰·戒,寂灭え戒
绿玉腰带,奇茸通天·带,紫光法甲,红魔法袍,白虎战袍,幽光法袍,耀光法袍,耀光法袍,奇茸通天·戒,盾牌+8,雪寂ぅ带,麒麟ぃ带,冥天え袍,奇茸通天·戒,奇茸通天·指,火龙魔杖,冰霜ぅ手,八角玄冰·指,寂灭え指
绿玉靴子,奇茸通天·靴,紫光法袍,红魔法杖,灭魂鬼斩,灵魂收割者,耀光寒冰刃,耀光寒冰刃,奇茸通天·指,盾牌+9,雪寂ぅ靴,麒麟ぃ靴,寂灭杀伐剑,奇茸通天·指,奇茸通天·带,大道七彩,冰霜ぅ戒,八角玄冰·带,寂灭え带
绿玉头盔,耀金战甲,紫光法杖,翡翠道甲,凤金道甲,极光道甲,耀玉道甲,耀玉道甲,奇茸通天·带,爱情鲜花+7,凛冬ぅ盔,朱雀ぃ盔,业火魔雷杖,奇茸通天·带,奇茸通天·靴,鬼王の斩,冰霜ぅ镯,八角玄冰·靴,寂灭え靴
绿玉项链,耀金战袍,绿疾道甲,翡翠道袍,凤金道袍,极光道袍,耀玉道袍,耀玉道袍,奇茸通天·靴,爱情鲜花+8,凛冬ぅ链,朱雀ぃ链,冥天玄魔刃,奇茸通天·靴,奇茸通天·头,降魔の剑,冰霜ぅ指,,业火え盔
绿玉手镯,耀金破龍斩,绿疾道袍,翡翠幽风,天界无极,玉佛降魔杵,耀玉青龙刀,耀玉青龙刀,,爱情鲜花+9,凛冬ぅ镯,朱雀ぃ镯,寂灭え盔,八角玄冰·头,天茄弥陀·头,天界の扇,雪寂ぅ带,,业火え链
绿玉戒指,耀金腰带,绿玉无极棍,土域头盔,道域头盔,水域头盔,沐域头盔,铜域头盔,,玉佩+7,凛冬ぅ戒,朱雀ぃ戒,寂灭え链,八角玄冰·链,天茄弥陀·链,金麟战刃,雪寂ぅ靴,,业火え手
紫光法甲,耀金靴子,藤域头盔,土域项链,道域项链,水域项链,沐域项链,铜域项链,,玉佩+8,凛冬ぅ指,朱雀ぃ指,寂灭え手,八角玄冰·手,天茄弥陀·手,赤炎魔杖,雪寂ぅ盔,,业火え镯
紫光法袍,耀金头盔,藤域项链,土域手镯,道域手镯,水域手镯,沐域手镯,铜域手镯,,玉佩+9,凛冬ぅ带,朱雀ぃ带,寂灭え镯,八角玄冰·镯,天茄弥陀·镯,玄天道扇,雪寂ぅ链,,业火え戒
紫光法杖,耀金项链,藤域手镯,土域戒指,道域戒指,水域戒指,沐域戒指,铜域戒指,,海妖·战甲,凛冬ぅ靴,朱雀ぃ靴,寂灭え戒,八角玄冰·戒,天茄弥陀·戒,,雪寂ぅ手,,业火え指
紫光腰带,耀金手镯,藤域戒指,土域靴子,道域靴子,水域靴子,沐域靴子,铜域靴子,,海妖·战袍,冰霜ぅ盔,玄武ぃ盔,寂灭え指,八角玄冰·指,天茄弥陀·指,,雪寂ぅ戒,,业火え带
紫光靴子,耀金麻戒,藤域靴子,土域腰带,道域腰带,水域腰带,沐域腰带,铜域腰带,,无形·道甲,冰霜ぅ链,玄武ぃ链,寂灭え带,八角玄冰·带,天茄弥陀·带,,雪寂ぅ镯,,业火え靴
紫光头盔,耀光法甲,藤域腰带,青罡佛尘,青罡佛尘,青罡佛尘,蓝灵法杖,蓝灵法杖,,无形·道袍,冰霜ぅ镯,玄武ぃ镯,寂灭え靴,八角玄冰·靴,天茄弥陀·靴,,雪寂ぅ指,,冥天え盔
紫光项链,耀光法袍,青罡佛尘,蓝灵法杖,蓝灵法杖,蓝灵法杖,青罡佛尘,青罡佛尘,,斩龙·法甲,冰霜ぅ戒,玄武ぃ戒,业火え盔,烈火杏娇·头,,,凛冬ぅ带,,冥天え链
紫光手镯,耀光寒冰刃,蓝灵法杖,,,,,,,斩龙·法袍,冰霜ぅ指,玄武ぃ指,业火え链,烈火杏娇·链,,,凛冬ぅ靴,,冥天え手
紫光戒指,耀光腰带,,,,,,,,天地の防,冰霜ぅ带,玄武ぃ带,业火え手,烈火杏娇·手,,,凛冬ぅ盔,,冥天え镯
绿疾道甲,耀光靴子,,,,,,,,天地の魔,冰霜ぅ靴,玄武ぃ靴,业火え镯,烈火杏娇·镯,,,凛冬ぅ链,,冥天え戒
绿疾道袍,耀光头盔,,,,,,,,神赐の光,冰霜ぅ甲,金麟ぃ甲,业火え戒,烈火杏娇·戒,,,凛冬ぅ手,,冥天え指
绿玉无极棍,耀光项链,,,,,,,,神赐の明,冰霜ぅ袍,金麟ぃ袍,业火え指,烈火杏娇·指,,,凛冬ぅ戒,,冥天え带
绿疾腰带,耀光手镯,,,,,,,,封印の禅,雪寂ぅ甲,赤炎ぃ甲,业火え带,烈火杏娇·带,,,凛冬ぅ镯,,冥天え靴
绿疾靴子,耀光麻戒,,,,,,,,封印の袍,雪寂ぅ袍,赤炎ぃ袍,业火え靴,烈火杏娇·靴,,,凛冬ぅ指,,冰霜ぅ盔
绿疾头盔,耀玉道甲,,,,,,,,鬼王の斩,凛冬ぅ甲,玄天ぃ甲,冥天え盔,幽香绮罗·头,,,冰霜ぅ带,,冰霜ぅ链
绿疾项链,耀玉道袍,,,,,,,,降魔の剑,凛冬ぅ袍,玄天ぃ袍,冥天え链,幽香绮罗·链,,,冰霜ぅ靴,,冰霜ぅ手
绿疾手镯,耀玉青龙刀,,,,,,,,天界の扇,冰霜破甲刃,金麟战刃,冥天え手,幽香绮罗·手,,,,,冰霜ぅ戒
绿疾戒指,耀玉腰带,,,,,,,,海妖·头盔,雪寂玄冰杖,赤炎魔杖,冥天え镯,幽香绮罗·镯,,,,,冰霜ぅ镯
,耀玉靴子,,,,,,,,海妖·项链,凛冬寒霜扇,玄天道扇,冥天え戒,幽香绮罗·戒,,,,,冰霜ぅ指
,耀玉头盔,,,,,,,,海妖·手镯,麒麟ぃ盔,,冥天え指,幽香绮罗·指,,,,,雪寂ぅ带
,耀玉项链,,,,,,,,海妖·护戒,麒麟ぃ链,,冥天え带,幽香绮罗·带,,,,,雪寂ぅ靴
,耀玉手镯,,,,,,,,海妖·腰带,麒麟ぃ镯,,冥天え靴,幽香绮罗·靴,,,,,雪寂ぅ盔
,耀玉麻戒,,,,,,,,海妖·靴子,麒麟ぃ戒,,神罚之甲,天茄弥陀·头,,,,,雪寂ぅ链
,,,,,,,,,斩龙·头盔,麒麟ぃ指,,神罚之袍,天茄弥陀·链,,,,,雪寂ぅ手
,,,,,,,,,斩龙·项链,麒麟ぃ带,,圣裁之甲,天茄弥陀·手,,,,,雪寂ぅ戒
,,,,,,,,,斩龙·手镯,麒麟ぃ靴,,圣裁之袍,天茄弥陀·镯,,,,,雪寂ぅ镯
,,,,,,,,,斩龙·复戒,朱雀ぃ盔,,仙戮之甲,天茄弥陀·戒,,,,,雪寂ぅ指
,,,,,,,,,斩龙·腰带,朱雀ぃ链,,仙戮之袍,天茄弥陀·指,,,,,凛冬ぅ带
,,,,,,,,,斩龙·靴子,朱雀ぃ镯,,神罚之刃,天茄弥陀·带,,,,,凛冬ぅ靴
,,,,,,,,,无形·头盔,朱雀ぃ戒,,圣裁之剑,天茄弥陀·靴,,,,,凛冬ぅ盔
,,,,,,,,,无形·项链,朱雀ぃ指,,仙戮之剑,耀金战甲,,,,,凛冬ぅ链
,,,,,,,,,无形·手镯,朱雀ぃ带,,神罚之盔,耀金战袍,,,,,凛冬ぅ手
,,,,,,,,,无形·复戒,朱雀ぃ靴,,神罚之链,耀光法甲,,,,,凛冬ぅ戒
,,,,,,,,,无形·腰带,玄武ぃ盔,,神罚之手,耀光法袍,,,,,凛冬ぅ镯
,,,,,,,,,无形·靴子,玄武ぃ链,,神罚之镯,耀玉道甲,,,,,凛冬ぅ指
,,,,,,,,,魅影之刃,玄武ぃ镯,,神罚之戒,耀玉道袍,,,,,
,,,,,,,,,火龙魔杖,玄武ぃ戒,,神罚之指,海妖·战甲,,,,,
,,,,,,,,,大道七彩,玄武ぃ指,,神罚之带,海妖·战袍,,,,,
,,,,,,,,,鬼神の带,玄武ぃ带,,神罚之靴,斩龙·法甲,,,,,
,,,,,,,,,鬼神の靴,玄武ぃ靴,,圣裁之盔,斩龙·法袍,,,,,
,,,,,,,,,战神の帝,金麟ぃ甲,,圣裁之链,无形·道甲,,,,,
,,,,,,,,,精灵の翔,金麟ぃ袍,,圣裁之手,无形·道袍,,,,,
,,,,,,,,,傀儡の隐,赤炎ぃ甲,,圣裁之镯,天地の防,,,,,
,,,,,,,,,凤凰の飞,赤炎ぃ袍,,圣裁之戒,天地の魔,,,,,
,,,,,,,,,幽灵の魔,玄天ぃ甲,,圣裁之指,封印の禅,,,,,
,,,,,,,,,诅咒の亡,玄天ぃ袍,,圣裁之带,封印の袍,,,,,
,,,,,,,,,玄清の带,金麟战刃,,圣裁之靴,神赐の光,,,,,
,,,,,,,,,玄清の靴,赤炎魔杖,,仙戮之盔,神赐の明,,,,,
,,,,,,,,,魔王の眼,玄天道扇,,仙戮之链,金麟ぃ甲,,,,,
,,,,,,,,,仙人の链,,,仙戮之手,金麟ぃ袍,,,,,
,,,,,,,,,菩提の舍,,,仙戮之镯,赤炎ぃ甲,,,,,
,,,,,,,,,杀伐の灵,,,仙戮之戒,赤炎ぃ袍,,,,,
,,,,,,,,,琉璃の塔,,,仙戮之指,玄天ぃ甲,,,,,
,,,,,,,,,强者の魂,,,仙戮之带,玄天ぃ袍,,,,,
,,,,,,,,,帝君の带,,,仙戮之靴,冰霜ぅ甲,,,,,
,,,,,,,,,帝君の靴,,,,冰霜ぅ袍,,,,,
,,,,,,,,,仙帝の王,,,,雪寂ぅ甲,,,,,
,,,,,,,,,幽灵の者,,,,雪寂ぅ袍,,,,,
,,,,,,,,,败魔の戾,,,,凛冬ぅ甲,,,,,
,,,,,,,,,无极の道,,,,凛冬ぅ袍,,,,,
,,,,,,,,,道心の坚,,,,寂灭え甲,,,,,
,,,,,,,,,轮回の镜,,,,寂灭え袍,,,,,
,,,,,,,,,,,,,业火え甲,,,,,
,,,,,,,,,,,,,业火え袍,,,,,
,,,,,,,,,,,,,冥天え甲,,,,,
,,,,,,,,,,,,,冥天え袍,,,,,
,,,,,,,,,,,,,神罚之甲,,,,,
,,,,,,,,,,,,,神罚之袍,,,,,
,,,,,,,,,,,,,圣裁之甲,,,,,
,,,,,,,,,,,,,圣裁之袍,,,,,
,,,,,,,,,,,,,仙戮之甲,,,,,
,,,,,,,,,,,,,奇茸通天·头,,,,,
