;武器名称 成功几率 减HP值 基本时间 扩展时间
;成功率100以下时设置多少就是多少的成功率例如:80就是80%的成功率50就是50%的成功率
;扩展时间是一个随即值,假如设置为10那么它的值就是1-10之间的值. 持续时间=基本时间+扩展时间所产生的随机值
;例如:木剑 90 10 5 5

屠龙【四星】 10 10 5 5
屠龙【五星】 11 10 5 5
屠龙【六星】 12 10 5 5
屠龙【七星】 13 10 5 5
屠龙【八星】 14 10 5 5
屠龙【九星】 15 10 5 5
嗜魂法杖【四星】 10 10 5 5
嗜魂法杖【五星】 11 10 5 5
嗜魂法杖【六星】 12 10 5 5
嗜魂法杖【七星】 13 10 5 5
嗜魂法杖【八星】 14 10 5 5
嗜魂法杖【九星】 15 10 5 5
天尊血剑【四星】 10 10 5 5
天尊血剑【五星】 11 10 5 5
天尊血剑【六星】 12 10 5 5
天尊血剑【七星】 13 10 5 5
天尊血剑【八星】 14 10 5 5
天尊血剑【九星】 15 10 5 5
武游裁决【四星】 11 10 5 5
武游裁决【五星】 12 10 5 5
武游裁决【六星】 13 10 5 5
武游裁决【七星】 14 10 5 5
武游裁决【八星】 15 10 5 5
武游裁决【九星】 16 10 5 5
魔幻法杖【四星】 11 10 5 5
魔幻法杖【五星】 12 10 5 5
魔幻法杖【六星】 13 10 5 5
魔幻法杖【七星】 14 10 5 5
魔幻法杖【八星】 15 10 5 5
魔幻法杖【九星】 16 10 5 5
蓝灵逍遥扇【四星】 11 10 5 5
蓝灵逍遥扇【五星】 12 10 5 5
蓝灵逍遥扇【六星】 13 10 5 5
蓝灵逍遥扇【七星】 14 10 5 5
蓝灵逍遥扇【八星】 15 10 5 5
蓝灵逍遥扇【九星】 16 10 5 5
绿玉屠龙【四星】 12 10 5 5
绿玉屠龙【五星】 13 10 5 5
绿玉屠龙【六星】 14 10 5 5
绿玉屠龙【七星】 15 10 5 5
绿玉屠龙【八星】 16 10 5 5
绿玉屠龙【九星】 17 10 5 5
蓝灵法杖【四星】 12 10 5 5
蓝灵法杖【五星】 13 10 5 5
蓝灵法杖【六星】 14 10 5 5
蓝灵法杖【七星】 15 10 5 5
蓝灵法杖【八星】 16 10 5 5
蓝灵法杖【九星】 17 10 5 5
绿玉无极棍【四星】 12 10 5 5
绿玉无极棍【五星】 13 10 5 5
绿玉无极棍【六星】 14 10 5 5
绿玉无极棍【七星】 15 10 5 5
绿玉无极棍【八星】 16 10 5 5
绿玉无极棍【九星】 17 10 5 5
武帝之刃【四星】 13 10 5 5
武帝之刃【五星】 14 10 5 5
武帝之刃【六星】 15 10 5 5
武帝之刃【七星】 16 10 5 5
武帝之刃【八星】 17 10 5 5
武帝之刃【九星】 18 10 5 5
魔邪权杖【四星】 13 10 5 5
魔邪权杖【五星】 14 10 5 5
魔邪权杖【六星】 15 10 5 5
魔邪权杖【七星】 16 10 5 5
魔邪权杖【八星】 17 10 5 5
魔邪权杖【九星】 18 10 5 5
通天之刃【四星】 13 10 5 5
通天之刃【五星】 14 10 5 5
通天之刃【六星】 15 10 5 5
通天之刃【七星】 16 10 5 5
通天之刃【八星】 17 10 5 5
通天之刃【九星】 18 10 5 5
九天屠龙【四星】 14 10 5 5
九天屠龙【五星】 15 10 5 5
九天屠龙【六星】 16 10 5 5
九天屠龙【七星】 17 10 5 5
九天屠龙【八星】 18 10 5 5
九天屠龙【九星】 19 10 5 5
血色权杖【四星】 14 10 5 5
血色权杖【五星】 15 10 5 5
血色权杖【六星】 16 10 5 5
血色权杖【七星】 17 10 5 5
血色权杖【八星】 18 10 5 5
血色权杖【九星】 19 10 5 5
明王蛇剑【四星】 14 10 5 5
明王蛇剑【五星】 15 10 5 5
明王蛇剑【六星】 16 10 5 5
明王蛇剑【七星】 17 10 5 5
明王蛇剑【八星】 18 10 5 5
明王蛇剑【九星】 19 10 5 5
轩辕圣刀【四星】 15 20 5 5
轩辕圣刀【五星】 16 20 5 5
轩辕圣刀【六星】 17 20 5 5
轩辕圣刀【七星】 18 20 5 5
轩辕圣刀【八星】 19 20 5 5
轩辕圣刀【九星】 20 20 5 5
轩辕圣刀☆真【四星】 16 30 5 5
轩辕圣刀☆真【五星】 17 30 5 5
轩辕圣刀☆真【六星】 18 30 5 5
轩辕圣刀☆真【七星】 19 30 5 5
轩辕圣刀☆真【八星】 20 30 5 5
轩辕圣刀☆真【九星】 20 30 5 5
孽龙狂刃【四星】 20 40 5 5
孽龙狂刃【五星】 20 40 5 5
孽龙狂刃【六星】 20 40 5 5
孽龙狂刃【七星】 20 40 5 5
孽龙狂刃【八星】 20 40 5 5
孽龙狂刃【九星】 20 40 5 5
孽龙狂刃☆真【四星】 20 50 5 5
孽龙狂刃☆真【五星】 20 50 5 5
孽龙狂刃☆真【六星】 20 50 5 5
孽龙狂刃☆真【七星】 20 50 5 5
孽龙狂刃☆真【八星】 20 50 5 5
孽龙狂刃☆真【九星】 20 50 5 5

沉默至尊战刃 20 60 5 5
沉默至尊战刃【一星】 20 60 5 5
沉默至尊战刃【二星】 20 60 5 5
沉默至尊战刃【三星】 20 60 5 5
沉默至尊战刃【四星】 20 60 5 5
沉默至尊战刃【五星】 20 60 5 5
沉默至尊战刃【六星】 20 60 5 5
沉默至尊战刃【七星】 20 60 5 5
沉默至尊战刃【八星】 20 60 5 5
沉默至尊战刃【九星】 20 60 5 5
沉默至尊战刃☆圣 20 70 5 5
沉默至尊战刃☆圣【一星】 20 70 5 5
沉默至尊战刃☆圣【二星】 20 70 5 5
沉默至尊战刃☆圣【三星】 20 70 5 5
沉默至尊战刃☆圣【四星】 20 70 5 5
沉默至尊战刃☆圣【五星】 20 70 5 5
沉默至尊战刃☆圣【六星】 20 70 5 5
沉默至尊战刃☆圣【七星】 20 70 5 5
沉默至尊战刃☆圣【八星】 20 70 5 5
沉默至尊战刃☆圣【九星】 20 70 5 5
灭神影魅神刃 20 80 5 5
灭神影魅神刃【一星】 20 80 5 5
灭神影魅神刃【二星】 20 80 5 5
灭神影魅神刃【三星】 20 80 5 5
灭神影魅神刃【四星】 20 80 5 5
灭神影魅神刃【五星】 20 80 5 5
灭神影魅神刃【六星】 20 80 5 5
灭神影魅神刃【七星】 20 80 5 5
灭神影魅神刃【八星】 20 80 5 5
灭神影魅神刃【九星】 20 80 5 5
傲视盘龍魂斩 20 90 5 5
傲视盘龍魂斩【一星】 20 90 5 5
傲视盘龍魂斩【二星】 20 90 5 5
傲视盘龍魂斩【三星】 20 90 5 5
傲视盘龍魂斩【四星】 20 90 5 5
傲视盘龍魂斩【五星】 20 90 5 5
傲视盘龍魂斩【六星】 20 90 5 5
傲视盘龍魂斩【七星】 20 90 5 5
傲视盘龍魂斩【八星】 20 90 5 5
傲视盘龍魂斩【九星】 20 90 5 5
沉默至尊战刃[限时] 20 60 5 5
